# Position Log - Manual Test Lap
# Format: RL_STATE|time|position|lap|split|posX|posY|speed|turnSpeed|angle|rank|coins
#
RL_STATE|4.38316|389|1|0|0.130996|0.26916|0.118971|1.5153|358.876|2|0
RL_STATE|4.39982|389|1|0|0.131846|0.267381|0.119871|1.70314|358.904|2|0
RL_STATE|4.41649|388|1|0|0.132755|0.265612|0.120754|1.41928|358.928|2|0
RL_STATE|4.43316|388|1|0|0.133715|0.263849|0.121621|1.18273|358.948|2|0
RL_STATE|4.44982|388|1|0|0.134717|0.262092|0.122472|0.985611|358.964|2|0
RL_STATE|4.46649|388|1|0|0.135756|0.260338|0.123308|0.821342|358.978|2|0
RL_STATE|4.48315|388|1|0|0.136828|0.258585|0.124128|0.684452|358.989|2|0
RL_STATE|4.49982|387|1|0|0.137927|0.256832|0.124933|0.570377|358.999|2|0
RL_STATE|4.51649|387|1|0|0.139051|0.255078|0.125724|0.475314|359.007|2|0
RL_STATE|4.53315|387|1|0|0.140196|0.253321|0.1265|0.396095|359.013|2|0
RL_STATE|4.54982|387|1|0|0.14136|0.25156|0.127262|0.330079|359.019|2|0
RL_STATE|4.56648|386|1|0|0.142541|0.249794|0.12801|0.275066|359.023|2|0
RL_STATE|4.58315|386|1|0|0.143737|0.248024|0.128744|0.229222|359.027|2|0
RL_STATE|4.59982|386|1|0|0.144948|0.246247|0.129465|0.191018|359.03|2|0
RL_STATE|4.61648|386|1|0|0.146171|0.244465|0.130173|0.159182|359.033|2|0
RL_STATE|4.63315|386|1|0|0.147405|0.242675|0.130867|0.132651|359.035|2|0
RL_STATE|4.64981|385|1|0|0.14865|0.240879|0.13155|0.110543|359.037|2|0
RL_STATE|4.66648|385|1|0|0.149905|0.239076|0.132219|0.092119|359.039|2|0
RL_STATE|4.68315|385|1|0|0.151169|0.237265|0.132877|0.104941|359.04|2|0
RL_STATE|4.69981|385|1|0|0.152442|0.235448|0.133522|0.133116|359.043|2|0
RL_STATE|4.71648|385|1|0|0.153726|0.233624|0.134156|0.161291|359.045|2|0
RL_STATE|4.73314|385|1|0|0.155021|0.231796|0.134778|0.189466|359.048|2|0
RL_STATE|4.74981|384|1|0|0.156327|0.229963|0.135388|0.217641|359.052|2|0
RL_STATE|4.76648|384|1|0|0.157646|0.228126|0.135988|0.245816|359.056|2|0
RL_STATE|4.78314|384|1|0|0.158979|0.226287|0.136576|0.273991|359.061|2|0
RL_STATE|4.79981|384|1|0|0.160325|0.224446|0.137154|0.302166|359.066|2|0
RL_STATE|4.81647|384|1|0|0.161687|0.222605|0.137721|0.330341|359.071|2|0
RL_STATE|4.83314|384|1|0|0.163064|0.220763|0.138278|0.275284|359.076|2|0
RL_STATE|4.84981|383|1|0|0.164455|0.21892|0.138825|0.229403|359.08|2|0
RL_STATE|4.86647|382|1|0|0.165859|0.217076|0.139361|0.191169|359.083|2|0
RL_STATE|4.88314|382|1|0|0.167274|0.215228|0.139884|0.159308|359.086|1|0
RL_STATE|4.8998|382|1|0|0.168699|0.213378|0.140397|0.132757|359.088|1|0
RL_STATE|4.91647|382|1|0|0.170133|0.211524|0.1409|0.11063|359.09|1|0
RL_STATE|4.93314|382|1|0|0.171576|0.209667|0.141395|0.092192|359.091|1|0
RL_STATE|4.9498|381|1|0|0.173027|0.207805|0.14188|0.0768267|359.092|1|0
RL_STATE|4.96647|381|1|0|0.174485|0.205938|0.142357|0.0640222|359.093|1|0
RL_STATE|4.98313|381|1|0|0.17595|0.204067|0.142825|0.0533519|359.094|1|0
RL_STATE|4.9998|381|1|0|0.177422|0.202191|0.143285|0.0444599|359.095|1|0
RL_STATE|5.01647|381|1|0|0.178899|0.200311|0.143736|0.0726349|359.096|1|0
RL_STATE|5.03313|380|1|0|0.180384|0.198426|0.144179|0.10081|359.098|1|0
RL_STATE|5.0498|380|1|0|0.181876|0.196538|0.144615|0.128985|359.1|1|0
RL_STATE|5.06646|380|1|0|0.183377|0.194647|0.145042|0.15716|359.103|1|0
RL_STATE|5.08313|380|1|0|0.184887|0.192755|0.145461|0.185335|359.106|1|0
RL_STATE|5.0998|380|1|0|0.186407|0.190862|0.145873|0.21351|359.109|1|0
RL_STATE|5.11646|379|1|0|0.187938|0.18897|0.146278|0.241685|359.113|1|0
RL_STATE|5.13313|379|1|0|0.189481|0.187078|0.146675|0.26986|359.118|1|0
RL_STATE|5.14979|379|1|0|0.191037|0.185188|0.147064|0.298035|359.123|1|0
RL_STATE|5.16646|379|1|0|0.192606|0.183301|0.147447|0.32621|359.128|1|0
RL_STATE|5.18313|379|1|0|0.194189|0.181418|0.147823|0.354385|359.134|1|0
RL_STATE|5.19979|378|1|0|0.195788|0.179539|0.148192|0.38256|359.141|1|0
RL_STATE|5.21646|378|1|0|0.197403|0.177667|0.148555|0.410735|359.147|1|0
RL_STATE|5.23312|378|1|0|0.199034|0.1758|0.14891|0.43891|359.155|1|0
RL_STATE|5.24979|378|1|0|0.200683|0.173941|0.14926|0.467085|359.163|1|0
RL_STATE|5.26646|378|1|0|0.20235|0.172091|0.149603|0.49526|359.171|1|0
RL_STATE|5.28312|377|1|0|0.204036|0.170251|0.14994|0.523435|359.18|1|0
